time,open,high,low,close
2022.09.12,92.41,93.17,92.32,93.02
2022.09.12,93.02,93.31,92.99,93.28
2022.09.12,93.28,93.3,93,93.04
2022.09.12,93.04,93.21,92.83,93.01
2022.09.12,93,94.04,92.84,93.82
2022.09.12,93.79,94.23,93.36,94.02
2022.09.12,94.02,94.53,93.63,93.97
2022.09.12,93.99,94.46,93.1,94.41
2022.09.12,94.4,94.52,93.35,93.37
2022.09.12,93.36,93.8,93.14,93.38
2022.09.12,93.35,94.02,93.05,93.47
2022.09.12,93.47,93.89,93.44,93.48
2022.09.12,93.46,93.82,93.46,93.82
2022.09.13,93.82,93.82,93.28,93.46
2022.09.13,93.46,93.46,92.12,92.54
2022.09.13,92.58,93.25,92.5,93.19
2022.09.13,93.19,93.7,93.06,93.21
2022.09.13,93.21,93.27,93.03,93.14
2022.09.13,93.13,93.45,92.98,93.19
2022.09.13,93.19,93.94,93.13,93.46
2022.09.13,93.46,94.31,93.24,94.11
2022.09.13,94.1,94.55,94.04,94.41
2022.09.13,94.4,94.5,94.03,94.33
2022.09.13,94.33,94.52,94.14,94.51
2022.09.13,94.52,94.85,94.45,94.59
2022.09.13,94.59,94.87,92.57,92.96
2022.09.13,92.98,93.82,92.41,93.27
2022.09.13,93.25,93.26,91.28,91.86
2022.09.13,91.86,92.62,91.65,91.76
2022.09.13,91.75,92.04,91.07,91.22
2022.09.13,91.22,92.77,90.58,92.73
2022.09.13,92.75,93.29,92.37,92.93
2022.09.13,92.92,93.08,92.71,92.87
2022.09.13,92.87,93.02,92.78,92.94
2022.09.14,92.94,93.09,92.61,92.68
2022.09.14,92.68,92.75,92.38,92.68
2022.09.14,92.69,92.88,92.65,92.76
2022.09.14,92.75,92.8,92.25,92.26
2022.09.14,92.26,92.31,91.86,92.15
2022.09.14,92.16,92.33,91.88,92.15
2022.09.14,92.14,92.57,92.03,92.28
2022.09.14,92.28,92.29,91.4,92.1
2022.09.14,92.1,92.82,91.89,92.54
2022.09.14,92.55,93.22,92.47,93.18
2022.09.14,93.18,93.32,92.75,93.26
2022.09.14,93.27,93.28,91.74,91.94
2022.09.14,91.93,92.96,91.76,92.87
2022.09.14,92.89,94.74,92.73,94.43
2022.09.14,94.43,94.59,93.21,94.1
2022.09.14,94.07,94.82,93.72,94.58
2022.09.14,94.58,95.11,94.47,94.8
2022.09.14,94.8,94.84,94.31,94.33
2022.09.14,94.33,94.59,93.32,93.35
2022.09.14,93.36,93.69,93.05,93.66
2022.09.14,93.66,93.97,93.56,93.93
2022.09.15,93.93,94.01,93.67,93.74
2022.09.15,93.76,93.81,92.98,93.47
2022.09.15,93.47,93.53,93.3,93.44
2022.09.15,93.44,93.5,93.32,93.38
2022.09.15,93.38,93.4,93.24,93.31
2022.09.15,93.3,93.6,93.2,93.37
2022.09.15,93.38,93.46,93.16,93.3
2022.09.15,93.29,93.85,93.03,93.78
2022.09.15,93.81,93.95,92.5,93.71
2022.09.15,93.73,93.79,92.73,92.76
2022.09.15,92.76,92.91,92.45,92.91
2022.09.15,92.92,93.02,91.89,92.27
2022.09.15,92.26,92.3,91.51,91.66
2022.09.15,91.67,92.04,90.37,90.98
2022.09.15,90.96,91.08,89.46,89.62
2022.09.15,89.62,90.5,89.42,90.01
2022.09.15,90.03,90.64,89.88,90.63
2022.09.15,90.65,90.87,90.07,90.32
2022.09.15,90.33,90.47,89.75,89.84
2022.09.15,89.83,90.27,89.76,90.11
2022.09.15,90.1,90.16,89.94,89.94
2022.09.16,89.94,90.13,89.59,89.74
2022.09.16,89.74,90.52,89.72,90.42
2022.09.16,90.41,90.55,90.23,90.33
2022.09.16,90.33,90.35,90.15,90.22
2022.09.16,90.22,90.44,90.22,90.37
2022.09.16,90.37,90.44,90.21,90.29
2022.09.16,90.29,90.76,90.18,90.71
2022.09.16,90.7,91.06,89.87,90.1
2022.09.16,90.09,90.13,89.39,89.94
2022.09.16,89.96,90.4,89.71,90.17
2022.09.16,90.14,90.91,89.79,90.71
2022.09.16,90.71,91.25,90.4,91.11
2022.09.16,91.11,91.44,90.13,90.3
2022.09.16,90.31,91.56,90.1,90.44
2022.09.16,90.44,91.54,90.19,91.38
2022.09.16,91.36,91.71,90.86,91.22
2022.09.16,91.22,91.29,90.23,90.33
2022.09.16,90.32,90.86,89.96,90.54
2022.09.16,90.54,90.8,90.34,90.58
2022.09.16,90.57,90.8,90.54,90.61
2022.09.16,90.6,90.65,90.51,90.54
2022.09.19,90.98,91.48,90.98,91.4
2022.09.19,91.41,91.54,91.2,91.29
2022.09.19,91.27,91.31,90.91,91.04
2022.09.19,91.03,91.04,90.86,90.89
2022.09.19,90.9,90.97,90.81,90.84
2022.09.19,90.83,90.89,90.53,90.54
2022.09.19,90.54,90.54,89.8,89.88
2022.09.19,89.89,89.97,89.52,89.6
2022.09.19,89.58,89.84,88.9,89.33
2022.09.19,89.34,89.46,88.85,89.05
2022.09.19,89.05,89.11,88.66,88.77
2022.09.19,88.76,88.86,88.56,88.82
